epoch,phase,loss,accuracy,f1
1,train,0.997394,0.623661,0.622286
1,val,0.715139,0.822321,0.824828
2,train,0.882479,0.708259,0.707018
2,val,0.63883,0.86875,0.867716
3,train,0.848949,0.734821,0.73424
3,val,0.637943,0.85625,0.853803
4,train,0.833559,0.741964,0.741585
4,val,0.630049,0.866071,0.864507
5,train,0.831638,0.737946,0.736536
5,val,0.618521,0.870536,0.869412
6,train,0.819082,0.748214,0.747807
6,val,0.622163,0.869643,0.867831
7,train,0.821028,0.747098,0.745983
7,val,0.612692,0.875893,0.874351
8,train,0.821216,0.744196,0.743353
8,val,0.615217,0.874107,0.87319
9,train,0.822315,0.75067,0.750182
9,val,0.602322,0.878571,0.877958
10,train,0.821733,0.745982,0.74457
10,val,0.603443,0.880357,0.879556
11,train,0.804182,0.758036,0.757028
11,val,0.603143,0.878571,0.877937
12,train,0.805233,0.758929,0.757331
12,val,0.596205,0.880357,0.879321
13,train,0.808666,0.757366,0.755866
13,val,0.599853,0.880357,0.879718
14,train,0.796033,0.764509,0.763319
14,val,0.5967,0.877679,0.877282
15,train,0.807448,0.758705,0.758084
15,val,0.594037,0.880357,0.879595
16,train,0.803264,0.761161,0.760474
16,val,0.602242,0.874107,0.87293
17,train,0.787832,0.770312,0.769189
17,val,0.597938,0.880357,0.878862
18,train,0.80515,0.755357,0.754664
18,val,0.592015,0.880357,0.879641
19,train,0.796231,0.769196,0.768917
19,val,0.595584,0.88125,0.880017
20,train,0.795323,0.752679,0.752382
20,val,0.594608,0.883036,0.882109
21,train,0.786619,0.774107,0.773366
21,val,0.575596,0.896429,0.895003
22,train,0.757243,0.787723,0.786671
22,val,0.557158,0.905357,0.905111
23,train,0.751606,0.787723,0.78701
23,val,0.545417,0.911607,0.911296
24,train,0.721787,0.805134,0.805012
24,val,0.539766,0.9125,0.912372
25,train,0.712182,0.820089,0.818781
25,val,0.523631,0.920536,0.92045
26,train,0.701777,0.825223,0.824992
26,val,0.520266,0.91875,0.91882
27,train,0.692732,0.829464,0.828915
27,val,0.517618,0.923214,0.923229
28,train,0.693089,0.829688,0.829117
28,val,0.515377,0.922321,0.922209
29,train,0.695885,0.824554,0.824052
29,val,0.509273,0.925,0.925134
30,train,0.681779,0.837723,0.837316
30,val,0.507344,0.93125,0.931556
