epoch,phase,loss,accuracy,f1
1,train,0.930303,0.676116,0.674009
1,val,0.652837,0.853571,0.8494
2,train,0.832532,0.740402,0.739792
2,val,0.637726,0.8625,0.86261
3,train,0.805908,0.757366,0.756585
3,val,0.607654,0.877679,0.876507
4,train,0.773788,0.772545,0.771573
4,val,0.596188,0.879464,0.879437
5,train,0.765642,0.773214,0.771947
5,val,0.582847,0.886607,0.886866
6,train,0.758929,0.785491,0.784822
6,val,0.589769,0.884821,0.884661
7,train,0.763211,0.78058,0.78026
7,val,0.577834,0.891071,0.89075
8,train,0.750984,0.789732,0.788926
8,val,0.571448,0.894643,0.894629
9,train,0.753346,0.785268,0.784409
9,val,0.568591,0.892857,0.892961
10,train,0.744535,0.795759,0.794896
10,val,0.571898,0.891964,0.891658
11,train,0.744509,0.789732,0.788989
11,val,0.570243,0.892857,0.893116
12,train,0.745792,0.794643,0.794295
12,val,0.565921,0.891071,0.891087
13,train,0.741803,0.798884,0.798337
13,val,0.567593,0.897321,0.897246
14,train,0.745335,0.788616,0.788622
14,val,0.560705,0.904464,0.904417
15,train,0.740527,0.79933,0.798831
15,val,0.56087,0.900893,0.900916
16,train,0.745896,0.792634,0.792292
16,val,0.560396,0.902679,0.902842
17,train,0.731688,0.803125,0.802715
17,val,0.560377,0.900893,0.900726
18,train,0.727992,0.80558,0.805727
18,val,0.560104,0.901786,0.90182
19,train,0.735379,0.797768,0.796722
19,val,0.563657,0.898214,0.898614
20,train,0.736957,0.792634,0.791818
20,val,0.559708,0.900893,0.901014
21,train,0.727757,0.801339,0.800735
21,val,0.542693,0.913393,0.913654
22,train,0.700228,0.818527,0.817712
22,val,0.528328,0.921429,0.921876
23,train,0.699395,0.822321,0.822102
23,val,0.51505,0.925,0.925166
24,train,0.661265,0.842187,0.841454
24,val,0.508174,0.926786,0.926808
25,train,0.658888,0.850223,0.849814
25,val,0.499465,0.933929,0.934138
26,train,0.659156,0.844196,0.843727
26,val,0.499232,0.934821,0.934908
27,train,0.640834,0.850223,0.849857
27,val,0.492032,0.9375,0.937871
28,train,0.650274,0.846652,0.846284
28,val,0.487759,0.940179,0.940548
29,train,0.64305,0.854464,0.854218
29,val,0.492292,0.9375,0.937692
30,train,0.634002,0.856696,0.85619
30,val,0.48786,0.945536,0.945749
