epoch,phase,loss,accuracy,f1
1,train,0.805745,0.670312,0.66814
1,val,0.418157,0.842857,0.837563
2,train,0.663363,0.733259,0.73235
2,val,0.366699,0.861607,0.85986
3,train,0.626827,0.751786,0.751344
3,val,0.350233,0.874107,0.873022
4,train,0.594046,0.766518,0.765946
4,val,0.336604,0.873214,0.872425
5,train,0.587511,0.762277,0.761795
5,val,0.32826,0.886607,0.885154
6,train,0.563497,0.775893,0.774683
6,val,0.310688,0.890179,0.889168
7,train,0.551827,0.773214,0.772755
7,val,0.301924,0.888393,0.887866
8,train,0.568128,0.771875,0.770794
8,val,0.302997,0.889286,0.888701
9,train,0.542885,0.787054,0.78617
9,val,0.298307,0.8875,0.886534
10,train,0.53479,0.783705,0.782737
10,val,0.294731,0.888393,0.887993
11,train,0.554582,0.773884,0.773209
11,val,0.296115,0.889286,0.887798
12,train,0.546368,0.7875,0.786672
12,val,0.296127,0.888393,0.887773
13,train,0.54744,0.777009,0.776366
13,val,0.284274,0.892857,0.892017
14,train,0.53512,0.777902,0.776723
14,val,0.293962,0.888393,0.887354
15,train,0.536699,0.776116,0.775578
15,val,0.290626,0.89375,0.892788
16,train,0.522401,0.785714,0.784269
16,val,0.287192,0.890179,0.889082
17,train,0.524692,0.786607,0.785673
17,val,0.285652,0.895536,0.894549
18,train,0.530399,0.787946,0.787422
18,val,0.282581,0.898214,0.897813
19,train,0.530499,0.78683,0.786518
19,val,0.291976,0.8875,0.886866
20,train,0.53681,0.784821,0.783844
20,val,0.283366,0.895536,0.894704
21,train,0.504096,0.801339,0.800515
21,val,0.249524,0.903571,0.903383
22,train,0.481329,0.813616,0.813537
22,val,0.234451,0.913393,0.912708
23,train,0.458088,0.816741,0.815718
23,val,0.213787,0.922321,0.922021
24,train,0.431898,0.83058,0.829995
24,val,0.203238,0.924107,0.924067
25,train,0.416677,0.830357,0.829905
25,val,0.184244,0.930357,0.930591
26,train,0.410844,0.834598,0.834128
26,val,0.180281,0.934821,0.934313
27,train,0.40062,0.849107,0.848687
27,val,0.177031,0.938393,0.938239
28,train,0.396795,0.839955,0.839692
28,val,0.170978,0.938393,0.938318
29,train,0.382061,0.847545,0.847328
29,val,0.167529,0.944643,0.944653
30,train,0.374829,0.851786,0.851185
30,val,0.167687,0.942857,0.943089
