epoch,phase,loss,accuracy,f1
1,train,0.983243,0.641964,0.641429
1,val,0.656684,0.840179,0.837383
2,train,0.855354,0.71875,0.71792
2,val,0.666962,0.838393,0.834745
3,train,0.835884,0.73192,0.73088
3,val,0.613485,0.86875,0.867979
4,train,0.797313,0.762946,0.762299
4,val,0.628469,0.860714,0.856689
5,train,0.790267,0.762946,0.761798
5,val,0.588912,0.879464,0.878251
6,train,0.774088,0.774554,0.77396
6,val,0.572209,0.892857,0.890675
7,train,0.737531,0.797098,0.796211
7,val,0.552583,0.898214,0.898296
8,train,0.716109,0.809821,0.809392
8,val,0.541301,0.916964,0.916415
9,train,0.69371,0.819196,0.818799
9,val,0.519222,0.921429,0.920691
10,train,0.682026,0.829464,0.829092
10,val,0.506896,0.925,0.924682
11,train,0.665915,0.841964,0.841551
11,val,0.49297,0.935714,0.935162
12,train,0.656818,0.845089,0.844647
12,val,0.479967,0.942857,0.942599
13,train,0.64052,0.85558,0.855091
13,val,0.481678,0.940179,0.939722
14,train,0.636345,0.857366,0.857039
14,val,0.470973,0.954464,0.954271
15,train,0.612486,0.872098,0.871761
15,val,0.462634,0.952679,0.952682
16,train,0.621352,0.868973,0.868911
16,val,0.462291,0.953571,0.953498
17,train,0.624735,0.86808,0.867909
17,val,0.457878,0.957143,0.95704
18,train,0.604422,0.877232,0.876954
18,val,0.456918,0.957143,0.957135
19,train,0.618594,0.865179,0.864989
19,val,0.457045,0.95625,0.956306
20,train,0.612725,0.869196,0.869035
20,val,0.455114,0.955357,0.955351
21,train,0.600717,0.876116,0.875804
21,val,0.450552,0.958036,0.958116
22,train,0.59262,0.887277,0.887077
22,val,0.446376,0.963393,0.963595
23,train,0.58653,0.887054,0.887083
23,val,0.443157,0.963393,0.963444
24,train,0.576423,0.89308,0.89292
24,val,0.438867,0.967857,0.967944
25,train,0.562232,0.902009,0.901814
25,val,0.437345,0.966071,0.966115
26,train,0.565921,0.898884,0.898703
26,val,0.43334,0.966071,0.966011
27,train,0.561259,0.907366,0.907203
27,val,0.432314,0.967857,0.967907
28,train,0.557725,0.909375,0.909247
28,val,0.431511,0.967857,0.967827
29,train,0.554932,0.906696,0.906442
29,val,0.429721,0.96875,0.968701
30,train,0.565052,0.904911,0.904857
30,val,0.43083,0.96875,0.968851
