epoch,phase,loss,accuracy,f1
1,train,0.936855,0.675223,0.673476
1,val,0.656486,0.857143,0.854922
2,train,0.825947,0.745982,0.744966
2,val,0.645593,0.857143,0.852623
3,train,0.81634,0.746205,0.745266
3,val,0.601234,0.88125,0.880486
4,train,0.764961,0.775893,0.775005
4,val,0.597441,0.876786,0.87603
5,train,0.772944,0.771205,0.770168
5,val,0.590816,0.88125,0.880615
6,train,0.767259,0.780804,0.780191
6,val,0.58636,0.886607,0.886325
7,train,0.759286,0.783036,0.782451
7,val,0.589793,0.879464,0.879105
8,train,0.75938,0.776786,0.776262
8,val,0.580828,0.884821,0.884073
9,train,0.75988,0.783259,0.782731
9,val,0.582667,0.888393,0.887572
10,train,0.751368,0.787054,0.786121
10,val,0.573557,0.892857,0.891948
11,train,0.756509,0.785491,0.785255
11,val,0.576092,0.880357,0.87937
12,train,0.745129,0.790402,0.789472
12,val,0.578242,0.885714,0.884985
13,train,0.757401,0.78058,0.779619
13,val,0.573834,0.892857,0.891533
14,train,0.74521,0.785491,0.784977
14,val,0.573661,0.89375,0.892805
15,train,0.744012,0.791518,0.790555
15,val,0.569762,0.891071,0.890126
16,train,0.739195,0.798661,0.798511
16,val,0.566332,0.890179,0.88968
17,train,0.735957,0.796652,0.796044
17,val,0.567507,0.889286,0.88851
18,train,0.741275,0.791518,0.791137
18,val,0.565291,0.892857,0.892097
19,train,0.735767,0.797545,0.796633
19,val,0.566285,0.892857,0.892088
20,train,0.736645,0.79933,0.798901
20,val,0.566416,0.889286,0.888293
21,train,0.733133,0.795312,0.795055
21,val,0.553609,0.901786,0.901808
22,train,0.712901,0.814063,0.812986
22,val,0.537161,0.913393,0.913218
23,train,0.695196,0.824554,0.82425
23,val,0.526187,0.916964,0.917597
24,train,0.673188,0.834598,0.833868
24,val,0.517847,0.921429,0.921343
25,train,0.675321,0.835045,0.834844
25,val,0.506617,0.926786,0.927029
26,train,0.656308,0.841741,0.841183
26,val,0.504022,0.930357,0.930372
27,train,0.650298,0.849777,0.849757
27,val,0.499987,0.934821,0.934949
28,train,0.657858,0.84442,0.843929
28,val,0.495401,0.938393,0.938653
29,train,0.647354,0.84933,0.848972
29,val,0.490914,0.942857,0.943184
30,train,0.636283,0.858259,0.857964
30,val,0.492494,0.936607,0.936779
