epoch,phase,loss,accuracy,f1
1,train,1.089019,0.582143,0.580119
1,val,0.757953,0.786607,0.774791
2,train,0.922655,0.679688,0.677289
2,val,0.68838,0.8375,0.837728
3,train,0.875499,0.71942,0.717903
3,val,0.666831,0.852679,0.853146
4,train,0.874713,0.715179,0.713916
4,val,0.655854,0.844643,0.841057
5,train,0.849166,0.732143,0.730278
5,val,0.649992,0.855357,0.85357
6,train,0.851169,0.727679,0.726009
6,val,0.640574,0.858036,0.856281
7,train,0.84063,0.731027,0.730152
7,val,0.633029,0.861607,0.860328
8,train,0.822304,0.74375,0.741713
8,val,0.624747,0.859821,0.857742
9,train,0.808392,0.748437,0.746997
9,val,0.616332,0.872321,0.87083
10,train,0.809838,0.750893,0.750059
10,val,0.607042,0.869643,0.868255
11,train,0.806472,0.757812,0.756645
11,val,0.603368,0.86875,0.868368
12,train,0.804344,0.746429,0.745303
12,val,0.60006,0.86875,0.868368
13,train,0.794214,0.761161,0.759429
13,val,0.592382,0.872321,0.871847
14,train,0.79958,0.760491,0.759754
14,val,0.594532,0.870536,0.870064
15,train,0.781024,0.775893,0.775356
15,val,0.589434,0.877679,0.877411
16,train,0.779449,0.770982,0.770155
16,val,0.587356,0.875893,0.875511
17,train,0.781143,0.760714,0.75878
17,val,0.586979,0.877679,0.877601
18,train,0.77679,0.772991,0.77225
18,val,0.586458,0.875893,0.8751
19,train,0.78378,0.762723,0.761192
19,val,0.587449,0.869643,0.868272
20,train,0.781959,0.766071,0.764983
20,val,0.590938,0.874107,0.873256
21,train,0.780252,0.763393,0.762946
21,val,0.58167,0.88125,0.880106
22,train,0.755492,0.783036,0.781567
22,val,0.582181,0.880357,0.879545
23,train,0.774581,0.768304,0.767467
23,val,0.575236,0.883929,0.883406
24,train,0.740944,0.791518,0.790327
24,val,0.570169,0.891071,0.890614
25,train,0.746034,0.79442,0.793464
25,val,0.570318,0.882143,0.881288
26,train,0.76024,0.78192,0.780742
26,val,0.560716,0.896429,0.895732
27,train,0.751158,0.786161,0.785151
27,val,0.56405,0.895536,0.894954
28,train,0.747424,0.787277,0.786117
28,val,0.562686,0.891964,0.891344
29,train,0.73927,0.797098,0.796295
29,val,0.560302,0.892857,0.892503
30,train,0.73902,0.8,0.798973
30,val,0.562158,0.892857,0.892618
