epoch,phase,loss,accuracy,f1
1,train,0.946219,0.664286,0.662474
1,val,0.69699,0.8125,0.804631
2,train,0.840326,0.732366,0.730385
2,val,0.689533,0.824107,0.822147
3,train,0.805599,0.758259,0.756541
3,val,0.641778,0.857143,0.854498
4,train,0.785025,0.771652,0.770573
4,val,0.651483,0.858929,0.858588
5,train,0.750503,0.792188,0.790942
5,val,0.615498,0.86875,0.867613
6,train,0.739068,0.793973,0.793174
6,val,0.56334,0.894643,0.894214
7,train,0.657578,0.846205,0.845738
7,val,0.525545,0.91875,0.918339
8,train,0.608802,0.879687,0.879268
8,val,0.484072,0.942857,0.9426
9,train,0.575718,0.896429,0.896052
9,val,0.463763,0.948214,0.94838
10,train,0.550146,0.904464,0.90426
10,val,0.451742,0.95625,0.955879
11,train,0.525767,0.921652,0.92147
11,val,0.444144,0.960714,0.961194
12,train,0.515293,0.924107,0.923987
12,val,0.440306,0.959821,0.95977
13,train,0.501609,0.927679,0.927498
13,val,0.423703,0.967857,0.967801
14,train,0.492122,0.93817,0.938122
14,val,0.423218,0.966071,0.966082
15,train,0.479585,0.943527,0.943519
15,val,0.424084,0.966964,0.966877
16,train,0.474321,0.946652,0.946635
16,val,0.409048,0.972321,0.972294
17,train,0.466635,0.950893,0.950879
17,val,0.404592,0.976786,0.976803
18,train,0.457938,0.956473,0.956433
18,val,0.411914,0.970536,0.970457
19,train,0.465515,0.952009,0.951983
19,val,0.404208,0.975893,0.975904
20,train,0.459199,0.954911,0.954934
20,val,0.404031,0.977679,0.977691
21,train,0.475886,0.942634,0.942624
21,val,0.407437,0.975,0.974954
22,train,0.46548,0.950893,0.950839
22,val,0.401774,0.975893,0.975914
23,train,0.457491,0.954911,0.954875
23,val,0.397204,0.976786,0.976779
24,train,0.449906,0.956473,0.956452
24,val,0.394714,0.979464,0.97946
25,train,0.444977,0.960491,0.960499
25,val,0.391542,0.978571,0.97856
26,train,0.433476,0.969866,0.969823
26,val,0.390976,0.979464,0.979468
27,train,0.434467,0.96875,0.96874
27,val,0.392521,0.977679,0.977694
28,train,0.427686,0.970759,0.970779
28,val,0.393852,0.977679,0.977625
29,train,0.426,0.969866,0.969837
29,val,0.390152,0.976786,0.97677
30,train,0.430087,0.96942,0.969395
30,val,0.38881,0.978571,0.978576
