epoch,phase,loss,accuracy,f1
1,train,0.970722,0.65625,0.654718
1,val,0.665658,0.853571,0.853189
2,train,0.842759,0.727902,0.725981
2,val,0.62821,0.873214,0.873138
3,train,0.821305,0.751339,0.7502
3,val,0.623325,0.870536,0.869814
4,train,0.789927,0.759598,0.758308
4,val,0.605016,0.88125,0.880433
5,train,0.793598,0.762277,0.761812
5,val,0.602294,0.883036,0.882581
6,train,0.800496,0.755134,0.754153
6,val,0.592006,0.891964,0.891867
7,train,0.789684,0.765848,0.765246
7,val,0.595652,0.888393,0.887728
8,train,0.782849,0.767411,0.766364
8,val,0.59166,0.889286,0.888985
9,train,0.77175,0.778795,0.778505
9,val,0.588825,0.8875,0.887039
10,train,0.770467,0.774777,0.773986
10,val,0.585234,0.892857,0.893032
11,train,0.77338,0.774554,0.773865
11,val,0.587446,0.885714,0.885478
12,train,0.774043,0.771429,0.770462
12,val,0.578894,0.892857,0.892809
13,train,0.778308,0.775223,0.775169
13,val,0.584954,0.886607,0.885892
14,train,0.763728,0.785491,0.784148
14,val,0.580374,0.890179,0.889731
15,train,0.758734,0.782366,0.781639
15,val,0.580565,0.895536,0.895407
16,train,0.759373,0.786607,0.785845
16,val,0.579731,0.888393,0.88813
17,train,0.763165,0.778125,0.777313
17,val,0.576445,0.890179,0.889807
18,train,0.760822,0.781473,0.780794
18,val,0.576528,0.889286,0.888846
19,train,0.762429,0.783259,0.782582
19,val,0.579223,0.888393,0.888112
20,train,0.760972,0.779687,0.778967
20,val,0.576574,0.889286,0.888882
21,train,0.756401,0.783036,0.781963
21,val,0.557054,0.900893,0.900695
22,train,0.731198,0.793527,0.793367
22,val,0.548683,0.900893,0.900644
23,train,0.710597,0.810937,0.810432
23,val,0.526822,0.921429,0.921634
24,train,0.69002,0.824777,0.824797
24,val,0.521384,0.920536,0.920796
25,train,0.690836,0.825446,0.824777
25,val,0.50775,0.924107,0.924454
26,train,0.680169,0.829688,0.829294
26,val,0.50411,0.932143,0.932322
27,train,0.665773,0.840848,0.840638
27,val,0.500091,0.933929,0.933962
28,train,0.661955,0.845982,0.845839
28,val,0.497763,0.935714,0.935965
29,train,0.651783,0.851116,0.850938
29,val,0.492496,0.938393,0.938711
30,train,0.659634,0.84308,0.84293
30,val,0.493954,0.938393,0.938664
