epoch,phase,loss,accuracy,f1
1,train,1.038425,0.6125,0.609516
1,val,0.666573,0.853571,0.854999
2,train,0.837795,0.733036,0.732117
2,val,0.658597,0.838393,0.829161
3,train,0.802789,0.752679,0.751519
3,val,0.683068,0.835714,0.834809
4,train,0.783174,0.769643,0.769401
4,val,0.619002,0.871429,0.870929
5,train,0.761317,0.777455,0.776294
5,val,0.603109,0.883929,0.883745
6,train,0.723251,0.809821,0.808899
6,val,0.551333,0.905357,0.905192
7,train,0.67478,0.833929,0.833618
7,val,0.514376,0.926786,0.92696
8,train,0.620246,0.868304,0.868188
8,val,0.486103,0.94375,0.943929
9,train,0.590751,0.885491,0.885254
9,val,0.480322,0.942857,0.942974
10,train,0.57234,0.895982,0.895771
10,val,0.476297,0.940179,0.939251
11,train,0.548649,0.910714,0.910495
11,val,0.449681,0.958036,0.958053
12,train,0.540627,0.91183,0.911641
12,val,0.4381,0.960714,0.960766
13,train,0.528905,0.919866,0.91971
13,val,0.431622,0.963393,0.963431
14,train,0.521229,0.922545,0.922534
14,val,0.430447,0.964286,0.964186
15,train,0.510373,0.929464,0.929449
15,val,0.427683,0.964286,0.964317
16,train,0.506322,0.936161,0.936105
16,val,0.42597,0.966964,0.966851
17,train,0.501164,0.933259,0.933188
17,val,0.422753,0.965179,0.965124
18,train,0.492157,0.936161,0.936027
18,val,0.422957,0.963393,0.963336
19,train,0.491791,0.938393,0.938288
19,val,0.423356,0.966071,0.966097
20,train,0.497426,0.935268,0.935291
20,val,0.42032,0.966071,0.966074
21,train,0.500666,0.934598,0.934558
21,val,0.419174,0.975,0.975108
22,train,0.501269,0.929241,0.929162
22,val,0.41542,0.964286,0.964173
23,train,0.497198,0.934821,0.934805
23,val,0.412271,0.970536,0.970637
24,train,0.489694,0.93817,0.938156
24,val,0.425932,0.9625,0.962503
25,train,0.475286,0.945312,0.945297
25,val,0.410452,0.973214,0.973149
26,train,0.471616,0.947098,0.947096
26,val,0.403776,0.978571,0.978582
27,train,0.464388,0.950446,0.950435
27,val,0.404704,0.977679,0.977668
28,train,0.459888,0.956696,0.956671
28,val,0.402442,0.978571,0.978593
29,train,0.459826,0.953795,0.953772
29,val,0.401283,0.979464,0.979449
30,train,0.455155,0.957812,0.957802
30,val,0.400629,0.977679,0.977696
